match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,control_wards_bought,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min
JP1_564121348,2026-02-09 14:00:28,420,CLASSIC,MATCHED_GAME,16.3.744.7656,UTILITY,Janna,False,1,8,9,21,37,26,25,0.89,52,1.86,25,6,3,6965,3891,1679,27.98
JP1_563945518,2026-02-08 15:27:49,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Ahri,False,4,11,12,21,33,34,120,3.88,34,1.1,13,2,5,9794,24740,1858,30.97
JP1_563942520,2026-02-08 15:16:42,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Ahri,True,0,0,0,1,0,0,11,3.17,1,0.29,2,0,1,963,986,208,3.47
JP1_563722481,2026-02-07 19:04:43,400,CLASSIC,MATCHED_GAME,16.3.744.7656,MIDDLE,Galio,True,3,3,8,32,13,47,182,4.32,34,0.81,19,1,3,11673,13722,2526,42.1
JP1_563454259,2026-02-06 18:13:11,400,CLASSIC,MATCHED_GAME,16.3.744.1639,BOTTOM,Ashe,False,14,10,12,41,46,54,234,5.4,36,0.83,18,2,3,19011,29575,2600,43.33
JP1_563443540,2026-02-06 17:19:42,400,CLASSIC,MATCHED_GAME,16.3.744.1639,UTILITY,Janna,True,1,7,13,31,20,30,45,1.04,107,2.47,43,7,3,11843,7214,2598,43.3
JP1_563434325,2026-02-06 16:37:36,400,CLASSIC,MATCHED_GAME,16.3.744.1639,TOP,Malphite,True,2,7,9,33,21,49,129,3.74,36,1.04,17,2,3,9868,26538,2071,34.52
JP1_562777146,2026-02-03 14:04:49,420,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Janna,True,0,6,6,32,18,26,39,1.22,76,2.38,29,9,3,7851,2329,1913,31.88
JP1_562593921,2026-02-02 14:21:38,420,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Morgana,True,3,7,17,33,31,53,39,1.36,57,1.99,29,1,5,9531,18218,1717,28.62
JP1_562452962,2026-02-01 18:08:17,400,CLASSIC,MATCHED_GAME,16.2.741.3171,MIDDLE,Varus,False,0,9,2,12,27,10,115,4.82,22,0.92,13,0,3,6064,5464,1432,23.87
JP1_562450290,2026-02-01 17:41:55,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Janna,False,1,7,3,5,31,7,31,1.54,34,1.68,16,2,2,4979,5924,1211,20.18
JP1_562444989,2026-02-01 17:09:57,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Braum,False,2,8,0,5,36,7,32,1.27,42,1.67,18,5,6,6884,4817,1506,25.1
JP1_562443461,2026-02-01 16:41:49,400,CLASSIC,MATCHED_GAME,16.2.741.3171,UTILITY,Janna,False,1,8,2,8,35,6,33,1.41,52,2.22,23,3,5,5532,5680,1404,23.4
